ad_id,viewCount,publishedAt,categoryId,retention
--1yd6dcNOQ,227228,42214,26,0.22028740490278956
-1skAyhI-aU,4238,83579,22,0.04771241830065359
-20CDPL9EZI,741643,5217,24,0.17565104166666667
-357o1r8tRA,952152,26145,22,0.10601241272304113
-3MMaXmuirk,320199,52883,10,0.051156069364161845
-3hwv-CAusk,425528,43715,27,0.45441176470588235
-4TSZh7zcIc,321187,61204,24,0.5299999999999999
-5ZkyteCA-s,37821,57917,26,0.08082191780821918
-5pEE18-NsI,1103664,46101,24,1.0
-6KNaxHvSAQ,71304,56450,2,0.3256603773584905
-6XSkD2LxJM,705599,70498,26,0.36562500000000003
-6tqqH4R9H8,1394570,53017,24,1.0
-7VR3kHdQEM,78369,44110,26,0.14634146341463414
-8uBC2aJpI8,332571,49285,1,0.32193548387096776
-B2A8bB2AF0,102620,70706,26,1.0
-BEa4krFs-Q,34423,56346,22,1.0
-CZvZX1ejfE,781662,46683,25,0.08854625550660793
-Cg_llht8Nw,58145,53842,24,1.0
-DBRd1jmi4o,137727,44423,1,0.02078853046594982
-Dsow-42cx4,4658669,75472,10,0.10066006600660066
-FR62Wc0VDE,109090,56330,22,0.5857699805068226
-FrpziQjJWU,24979,73592,27,0.025416666666666664
-FzBvLJ3bNs,629086,76702,17,0.09682539682539683
-G8iGLVNmTk,82443,77056,22,1.0
-Ibcc3OQbgk,490572,74554,26,0.31217391304347825
-IwtlagrYOA,628859,48778,20,0.3044534412955466
-Kcfw0OIOak,57533,81197,22,1.0
-L5FoRldpkc,40812,65451,10,1.0
-LPT6WbgLEU,4356881,16958,24,0.11806784660766961
-LuXLBESnEk,108754,52670,1,0.42196969696969694
-MMkTiAkyqQ,581473,72454,27,0.7306451612903226
-Mmc1qA5RUA,5471,68225,22,0.4797235023041474
-OFnJZG1VCw,687350,59190,29,0.17419354838709677
-OL3Uo9baN8,205621,63207,24,0.03303437967115097
-OmGhzfLTvs,41493,51101,1,1.0
-POwXBykuUg,61534,47924,27,0.6369565217391304
-QrW6ryUCj8,18405906,22339,2,0.6078341013824884
-RNMgTryLTk,85172,76844,24,0.3375
-SgWF46mnhc,51549,50299,1,1.0
-T0o87r8Q9o,388870,75457,22,0.26818027787190785
-VCkbYsKBeo,6209,12628,10,0.05846560846560847
-VfqpdnhZmY,79841,53505,27,1.0
-XMBEFABOUM,5821079,5653,24,0.1922525107604017
-Y6qRMb7zME,190717,51332,2,0.5438405797101449
-YiNMPsi4Xw,2660507,65869,17,0.643942652329749
-_YApgcJPv8,590673,12579,28,0.5403225806451613
-aKsK9haLo4,30423,74989,10,0.23950276243093924
-ax3P3LY0fA,9312,64965,22,1.0
-bK1lkphhN8,3197,71015,22,0.06142857142857142
-bypecLaCU0,66720,79887,22,0.675
-d00GoozLlY,49767,72268,24,1.0
